date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalizedCurrently,inIcuCurrently,negativeTestsViral,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveTestsViral,recovered,totalTestResults,totalTestResultsIncrease,totalTestsViral,totalTestsViralIncrease
07/03/2021,MI,16658,15666,0,992,866,222,9869602,97,656072,596054,0,752365,549881,10621967,0,10621967,0
06/03/2021,MI,16658,15666,57,992,866,222,9869602,97,656072,596054,1692,752365,549881,10621967,37232,10621967,37232
05/03/2021,MI,16601,15610,12,991,866,222,9833789,97,654380,594765,1791,750946,541258,10584735,46112,10584735,46112
04/03/2021,MI,16589,15600,39,989,890,229,9789502,102,652589,593279,1827,749121,541258,10538623,46486,10538623,46486
03/03/2021,MI,16550,15563,6,987,882,234,9744673,100,650762,591753,1705,747464,541258,10492137,36453,10492137,36453
02/03/2021,MI,16544,15558,25,986,959,228,9709698,99,649057,590217,1642,745986,541258,10455684,19406,10455684,19406
01/03/2021,MI,16519,15534,11,985,893,226,9691266,103,647415,589150,1865,745012,541258,10436278,48387,10436278,48387
28/02/2021,MI,16508,15522,0,986,841,195,9644816,93,645550,587581,0,743075,541258,10387891,0,10387891,0
27/02/2021,MI,16508,15522,70,986,841,195,9644816,93,645550,587581,1425,743075,541258,10387891,36981,10387891,36981
26/02/2021,MI,16438,15454,2,984,841,195,9609112,93,644125,586425,1257,741798,529080,10350910,41966,10350910,41966
25/02/2021,MI,16436,15453,47,983,821,186,9568418,86,642868,585352,1598,740526,529080,10308944,50160,10308944,50160
24/02/2021,MI,16389,15405,9,984,855,200,9519738,86,641270,583964,1558,739046,529080,10258784,41891,10258784,41891
23/02/2021,MI,16380,15396,37,984,891,207,9479256,93,639712,582719,1784,737637,529080,10216893,25490,10216893,25490
22/02/2021,MI,16343,15362,1,981,841,225,9454830,93,637928,581403,1659,736573,529080,10191403,46336,10191403,46336
21/02/2021,MI,16342,15359,0,983,860,217,9410432,107,636269,579919,0,734635,529080,10145067,0,10145067,0
20/02/2021,MI,16342,15359,68,983,860,217,9410432,107,636269,579919,823,734635,529080,10145067,39029,10145067,39029
19/02/2021,MI,16274,15296,23,978,860,217,9372640,107,635446,579284,1473,733398,517991,10106038,38083,10106038,38083
18/02/2021,MI,16251,15273,91,978,877,220,9335801,110,633973,578091,1201,732154,517991,10067955,32529,10067955,32529
17/02/2021,MI,16160,15188,11,972,929,237,9304200,116,632772,577203,1240,731226,517991,10035426,28292,10035426,28292
16/02/2021,MI,16149,15177,19,972,939,240,9276991,123,631532,576264,1124,730143,517991,10007134,17169,10007134,17169
15/02/2021,MI,16130,15158,11,972,957,258,9260443,135,630408,575489,1452,729522,517991,9989965,51616,9989965,51616
14/02/2021,MI,16119,15150,0,969,1024,293,9210589,123,628956,574224,0,727760,517991,9938349,0,9938349,0
13/02/2021,MI,16119,15150,92,969,1024,293,9210589,123,628956,574224,944,727760,517991,9938349,34182,9938349,34182
12/02/2021,MI,16027,15062,8,965,1024,293,9177670,123,628012,573372,1535,726497,498495,9904167,41708,9904167,41708
